# Average slewing corrections obtained with run 12995.
# Channels 411 410 591 590 561 560 399 398 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
0     -0.04189    8.21      1.8425
1     -0.03482	   13.68      0.4442
2     -0.04189    8.21      1.8425
3     -0.03482	   13.68      0.4442
4     -0.04189    8.21      1.8425
5     -0.03482	   13.68      0.4442
6     -0.04189    8.21      1.8425
7     -0.03482	   13.68      0.4442
8     -0.04189    8.21      1.8425
9     -0.03482	   13.68      0.4442
10     -0.04189    8.21      1.8425
11     -0.03482	   13.68      0.4442
12     -0.04189    8.21      1.8425
13     -0.03482	   13.68      0.4442
14     -0.04189    8.21      1.8425
15     -0.03482	   13.68      0.4442
16     -0.04189    8.21      1.8425
17     -0.03482	   13.68      0.4442
18     -0.04189    8.21      1.8425
19     -0.03482	   13.68      0.4442
20     -0.04189    8.21      1.8425
21     -0.03482	   13.68      0.4442
22     -0.04189    8.21      1.8425
23     -0.03482	   13.68      0.4442
24     -0.04189    8.21      1.8425
25     -0.03482	   13.68      0.4442
26     -0.04189    8.21      1.8425
27     -0.03482	   13.68      0.4442
28     -0.04189    8.21      1.8425
29     -0.03482	   13.68      0.4442
30     -0.04189    8.21      1.8425
31     -0.03482	   13.68      0.4442
32     -0.04189    8.21      1.8425
33     -0.03482	   13.68      0.4442
34     -0.04189    8.21      1.8425
35     -0.03482	   13.68      0.4442
36     -0.04189    8.21      1.8425
37     -0.03482	   13.68      0.4442
38     -0.04189    8.21      1.8425
39     -0.03482	   13.68      0.4442
40     -0.04189    8.21      1.8425
41     -0.03482	   13.68      0.4442
42     -0.04189    8.21      1.8425
43     -0.03482	   13.68      0.4442
44     -0.04189    8.21      1.8425
45     -0.03482	   13.68      0.4442
46     -0.04189    8.21      1.8425
47     -0.03482	   13.68      0.4442
48     -0.04189    8.21      1.8425
49     -0.03482	   13.68      0.4442
50     -0.04189    8.21      1.8425
51     -0.03482	   13.68      0.4442
52     -0.04189    8.21      1.8425
53     -0.03482	   13.68      0.4442
54     -0.04189    8.21      1.8425
