# Slewing corrections obtained with run 4740
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
0      -8.52e-2	   22.2      1.091  
1      -8.284e-2    12.92      2.071		
2      -8.52e-2	   22.2      1.091
3      -8.284e-2    12.92      2.071
4      -8.52e-2	   22.2      1.091
5      -8.284e-2    12.92      2.071
6      -8.52e-2	   22.2      1.091
7      -8.284e-2    12.92      2.071
8      -8.52e-2	   22.2      1.091 
9      -8.284e-2    12.92      2.071	
10     -8.52e-2	   22.2      1.091
11     -8.284e-2    12.92      2.071
12     -8.52e-2	   22.2      1.091
13     -8.284e-2    12.92      2.071
14     -8.52e-2	   22.2      1.091
15     -8.284e-2    12.92      2.071
16     -8.52e-2	   22.2      1.091  
17     -8.284e-2    12.92      2.071	
18     -8.52e-2	   22.2      1.091
19     -8.284e-2    12.92      2.071
20     -8.52e-2	   22.2      1.091
21     -8.284e-2    12.92      2.071
22     -8.52e-2	   22.2      1.091
23     -8.284e-2    12.92      2.071
24     -8.52e-2	   22.2      1.091 
25     -8.284e-2    12.92      2.071	
26     -8.52e-2	   22.2      1.091
27     -8.284e-2    12.92      2.071
28     -8.52e-2	   22.2      1.091
29     -8.284e-2    12.92      2.071
30     -8.52e-2	   22.2      1.091
31     -8.284e-2    12.92      2.071
32     -8.52e-2	   22.2      1.091  
33     -8.284e-2    12.92      2.071	
34     -8.52e-2	   22.2      1.091
35     -8.284e-2    12.92      2.071
36     -8.52e-2	   22.2      1.091
37     -8.284e-2    12.92      2.071
38     -8.52e-2	   22.2      1.091
39     -8.284e-2    12.92      2.071
40     -8.52e-2	   22.2      1.091 
41     -8.284e-2    12.92      2.071	
42     -8.52e-2	   22.2      1.091
43     -8.284e-2    12.92      2.071
44     -8.52e-2	   22.2      1.091
45     -8.284e-2    12.92      2.071
46     -8.52e-2	   22.2      1.091
47     -8.284e-2    12.92      2.071
48     -8.52e-2	   22.2      1.091  
49     -8.284e-2    12.92      2.071	
50     -8.52e-2	   22.2      1.091
51     -8.284e-2    12.92      2.071
52     -8.52e-2	   22.2      1.091
53     -8.284e-2    12.92      2.071
54     -8.52e-2	   22.2      1.091
55     -8.284e-2    12.92      2.071
56     -8.52e-2	   22.2      1.091 
57     -8.284e-2    12.92      2.071	
58     -8.52e-2	   22.2      1.091
59     -8.284e-2    12.92      2.071
60     -8.52e-2	   22.2      1.091
61     -8.284e-2    12.92      2.071
62     -8.52e-2	   22.2      1.091
