# Average slewing corrections obtained with run 12995.
# Channels 456 458 688 689 860 862 896 898 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
0     -0.03482	   13.68      0.4442
1     0    0      0
2     -0.04189    8.21      1.8425
3     0    0      0
4     -0.03482	   13.68      0.4442
5     0    0      0
6     -0.04189    8.21      1.8425
7     0    0      0
8     -0.03482	   13.68      0.4442
9     0    0      0
10     -0.04189    8.21      1.8425
11     0    0      0
12     -0.03482	   13.68      0.4442
13     0    0      0
14     -0.04189    8.21      1.8425
15     0    0      0
16     -0.03482	   13.68      0.4442
17     0    0      0
18     -0.04189    8.21      1.8425
19     0    0      0
20     -0.03482	   13.68      0.4442
21     0    0      0
22     -0.04189    8.21      1.8425
23     0    0      0
24     -0.03482	   13.68      0.4442
25     0    0      0
26     -0.04189    8.21      1.8425
27     0    0      0
28     -0.03482	   13.68      0.4442
29     0    0      0
30     -0.04189    8.21      1.8425
31     0    0      0
32     -0.03482	   13.68      0.4442
33     0    0      0
34     -0.04189    8.21      1.8425
35     0    0      0
36     -0.03482	   13.68      0.4442
37     0    0      0
38     -0.04189    8.21      1.8425
39     0    0      0
40     -0.03482	   13.68      0.4442
41     0    0      0
42     -0.04189    8.21      1.8425
43     0    0      0
44     -0.03482	   13.68      0.4442
45     0    0      0
46     -0.04189    8.21      1.8425
47     0    0      0
48     -0.03482	   13.68      0.4442
49     0    0      0
50     -0.04189    8.21      1.8425
51     0    0      0
52     -0.03482	   13.68      0.4442
53     0    0      0
54     -0.04189    8.21      1.8425
55     0    0      0
56     -0.03482	   13.68      0.4442
57     0    0      0
58     -0.04189    8.21      1.8425
59     0    0      0
60     -0.03482	   13.68      0.4442
61     0    0      0
62     -0.04189    8.21      1.8425
63     0    0      0
64     -0.03482	   13.68      0.4442
65     0    0      0
66     -0.04189    8.21      1.8425
67     0    0      0
68     -0.03482	   13.68      0.4442
69     0    0      0
70     -0.04189    8.21      1.8425
71     0    0      0
72     -0.03482	   13.68      0.4442
73     0    0      0
74     -0.04189    8.21      1.8425
75     0    0      0
76     -0.03482	   13.68      0.4442
77     0    0      0
78     -0.04189    8.21      1.8425
79     0    0      0
80     -0.03482	   13.68      0.4442
81     0    0      0
82     -0.04189    8.21      1.8425
83     0    0      0
84     -0.03482	   13.68      0.4442
85     0    0      0
86     -0.04189    8.21      1.8425
87     0    0      0
88     -0.03482	   13.68      0.4442
89     0    0      0
90     -0.04189    8.21      1.8425
91     0    0      0
92     -0.03482	   13.68      0.4442
93     0    0      0
94     -0.04189    8.21      1.8425
95     0    0      0
96     0    0      0
97     0    0      0
98     0    0      0
99     0    0      0
100     0    0      0
101     0    0      0
102     0    0      0
103     0    0      0
104     0    0      0
105     0    0      0
106     0    0      0
107     0    0      0
108     0    0      0
109     0    0      0
110     0    0      0
111     0    0      0
112     0    0      0
113     0    0      0
114     0    0      0
115     0    0      0
116     0    0      0
117     0    0      0
118     0    0      0
119     0    0      0
120     0    0      0
121     0    0      0
122     0    0      0
123     0    0      0
124     0    0      0
125     0    0      0
126     0    0      0
127     0    0      0
128     -0.03482	   13.68      0.4442
129     0    0      0
130     -0.04189    8.21      1.8425
131     0    0      0
132     -0.03482	   13.68      0.4442
133     0    0      0
134     -0.04189    8.21      1.8425
135     0    0      0
136     -0.03482	   13.68      0.4442
137     0    0      0
138     -0.04189    8.21      1.8425
139     0    0      0
140     -0.03482	   13.68      0.4442
141     0    0      0
142     -0.04189    8.21      1.8425
143     0    0      0
144     -0.03482	   13.68      0.4442
145     0    0      0
146     -0.04189    8.21      1.8425
147     0    0      0
148     -0.03482	   13.68      0.4442
149     0    0      0
150     -0.04189    8.21      1.8425
151     0    0      0
152     -0.03482	   13.68      0.4442
153     0    0      0
154     -0.04189    8.21      1.8425
155     0    0      0
156     -0.03482	   13.68      0.4442
157     0    0      0
158     -0.04189    8.21      1.8425
159     0    0      0
160     -0.03482	   13.68      0.4442
161     0    0      0
162     -0.04189    8.21      1.8425
163     0    0      0
164     -0.03482	   13.68      0.4442
165     0    0      0
166     -0.04189    8.21      1.8425
167     0    0      0
168     -0.03482	   13.68      0.4442
169     0    0      0
170     -0.04189    8.21      1.8425
171     0    0      0
172     -0.03482	   13.68      0.4442
173     0    0      0
174     -0.04189    8.21      1.8425
175     0    0      0
176     -0.03482	   13.68      0.4442
177     0    0      0
178     -0.04189    8.21      1.8425
179     0    0      0
180     -0.03482	   13.68      0.4442
181     0    0      0
182     -0.04189    8.21      1.8425
183     0    0      0
184     -0.03482	   13.68      0.4442
185     0    0      0
186     -0.04189    8.21      1.8425
187     0    0      0
188     -0.03482	   13.68      0.4442
189     0    0      0
190     -0.04189    8.21      1.8425
191     0    0      0
192     -0.03482	   13.68      0.4442
193     0    0      0
194     -0.04189    8.21      1.8425
195     0    0      0
196     -0.03482	   13.68      0.4442
197     0    0      0
198     -0.04189    8.21      1.8425
199     0    0      0
200     -0.03482	   13.68      0.4442
201     0    0      0
202     -0.04189    8.21      1.8425
203     0    0      0
204     -0.03482	   13.68      0.4442
205     0    0      0
206     -0.04189    8.21      1.8425
207     0    0      0
208     -0.03482	   13.68      0.4442
209     0    0      0
210     -0.04189    8.21      1.8425
211     0    0      0
212     -0.03482	   13.68      0.4442
213     0    0      0
214     -0.04189    8.21      1.8425
215     0    0      0
216     -0.03482	   13.68      0.4442
217     0    0      0
218     -0.04189    8.21      1.8425
219     0    0      0
220     -0.03482	   13.68      0.4442
221     0    0      0
222     -0.04189    8.21      1.8425
223     0    0      0
224     0    0      0
225     0    0      0
226     0    0      0
227     0    0      0
228     0    0      0
229     0    0      0
230     0    0      0
231     0    0      0
232     0    0      0
233     0    0      0
234     0    0      0
235     0    0      0
236     0    0      0
237     0    0      0
238     0    0      0
239     0    0      0
240     0    0      0
241     0    0      0
242     0    0      0
243     0    0      0
244     0    0      0
245     0    0      0
246     0    0      0
247     0    0      0
248     0    0      0
249     0    0      0
250     0    0      0
251     0    0      0
252     0    0      0
253     0    0      0
254     0    0      0
255     0    0      0
256     -0.03482	   13.68      0.4442
257     0    0      0
258     -0.04189    8.21      1.8425
259     0    0      0
260     -0.03482	   13.68      0.4442
261     0    0      0
262     -0.04189    8.21      1.8425
263     0    0      0
264     -0.03482	   13.68      0.4442
265     0    0      0
266     -0.04189    8.21      1.8425
267     0    0      0
268     -0.03482	   13.68      0.4442
269     0    0      0
270     -0.04189    8.21      1.8425
271     0    0      0
272     -0.03482	   13.68      0.4442
273     0    0      0
274     -0.04189    8.21      1.8425
275     0    0      0
276     -0.03482	   13.68      0.4442
277     0    0      0
278     -0.04189    8.21      1.8425
279     0    0      0
280     -0.03482	   13.68      0.4442
281     0    0      0
282     -0.04189    8.21      1.8425
283     0    0      0
284     -0.03482	   13.68      0.4442
285     0    0      0
286     -0.04189    8.21      1.8425
287     0    0      0
288     -0.03482	   13.68      0.4442
289     0    0      0
290     -0.04189    8.21      1.8425
291     0    0      0
292     -0.03482	   13.68      0.4442
293     0    0      0
294     -0.04189    8.21      1.8425
295     0    0      0
296     -0.03482	   13.68      0.4442
297     0    0      0
298     -0.04189    8.21      1.8425
299     0    0      0
300     -0.03482	   13.68      0.4442
301     0    0      0
302     -0.04189    8.21      1.8425
303     0    0      0
304     -0.03482	   13.68      0.4442
305     0    0      0
306     -0.04189    8.21      1.8425
307     0    0      0
308     -0.03482	   13.68      0.4442
309     0    0      0
310     -0.04189    8.21      1.8425
311     0    0      0
312     -0.03482	   13.68      0.4442
313     0    0      0
314     -0.04189    8.21      1.8425
315     0    0      0
316     -0.03482	   13.68      0.4442
317     0    0      0
318     -0.04189    8.21      1.8425
319     0    0      0
320     -0.03482	   13.68      0.4442
321     0    0      0
322     -0.04189    8.21      1.8425
323     0    0      0
324     -0.03482	   13.68      0.4442
325     0    0      0
326     -0.04189    8.21      1.8425
327     0    0      0
328     -0.03482	   13.68      0.4442
329     0    0      0
330     -0.04189    8.21      1.8425
331     0    0      0
332     -0.03482	   13.68      0.4442
333     0    0      0
334     -0.04189    8.21      1.8425
335     0    0      0
336     -0.03482	   13.68      0.4442
337     0    0      0
338     -0.04189    8.21      1.8425
339     0    0      0
340     -0.03482	   13.68      0.4442
341     0    0      0
342     -0.04189    8.21      1.8425
343     0    0      0
344     -0.03482	   13.68      0.4442
345     0    0      0
346     -0.04189    8.21      1.8425
347     0    0      0
348     -0.03482	   13.68      0.4442
349     0    0      0
350     -0.04189    8.21      1.8425
351     0    0      0
352     0    0      0
353     0    0      0
354     0    0      0
355     0    0      0
356     0    0      0
357     0    0      0
358     0    0      0
359     0    0      0
360     0    0      0
361     0    0      0
362     0    0      0
363     0    0      0
364     0    0      0
365     0    0      0
366     0    0      0
367     0    0      0
368     0    0      0
369     0    0      0
370     0    0      0
371     0    0      0
372     0    0      0
373     0    0      0
374     0    0      0
375     0    0      0
376     0    0      0
377     0    0      0
378     0    0      0
379     0    0      0
380     0    0      0
381     0    0      0
382     0    0      0
383     0    0      0
384     -0.03482	   13.68      0.4442
385     0    0      0
386     -0.04189    8.21      1.8425
387     0    0      0
388     -0.03482	   13.68      0.4442
389     0    0      0
390     -0.04189    8.21      1.8425
391     0    0      0
392     -0.03482	   13.68      0.4442
393     0    0      0
394     -0.04189    8.21      1.8425
395     0    0      0
396     -0.03482	   13.68      0.4442
397     0    0      0
398     -0.04189    8.21      1.8425
399     0    0      0
400     -0.03482	   13.68      0.4442
401     0    0      0
402     -0.04189    8.21      1.8425
403     0    0      0
404     -0.03482	   13.68      0.4442
405     0    0      0
406     -0.04189    8.21      1.8425
407     0    0      0
408     -0.03482	   13.68      0.4442
409     0    0      0
410     -0.04189    8.21      1.8425
411     0    0      0
412     -0.03482	   13.68      0.4442
413     0    0      0
414     -0.04189    8.21      1.8425
415     0    0      0
416     -0.03482	   13.68      0.4442
417     0    0      0
418     -0.04189    8.21      1.8425
419     0    0      0
420     -0.03482	   13.68      0.4442
421     0    0      0
422     -0.04189    8.21      1.8425
423     0    0      0
424     -0.03482	   13.68      0.4442
425     0    0      0
426     -0.04189    8.21      1.8425
427     0    0      0
428     -0.03482	   13.68      0.4442
429     0    0      0
430     -0.04189    8.21      1.8425
431     0    0      0
432     -0.03482	   13.68      0.4442
433     0    0      0
434     -0.04189    8.21      1.8425
435     0    0      0
436     -0.03482	   13.68      0.4442
437     0    0      0
438     -0.04189    8.21      1.8425
439     0    0      0
440     -0.03482	   13.68      0.4442
441     0    0      0
442     -0.04189    8.21      1.8425
443     0    0      0
444     -0.03482	   13.68      0.4442
445     0    0      0
446     -0.04189    8.21      1.8425
447     0    0      0
448     -0.03482	   13.68      0.4442
449     0    0      0
450     -0.04189    8.21      1.8425
451     0    0      0
452     -0.03482	   13.68      0.4442
453     0    0      0
454     -0.04189    8.21      1.8425
455     0    0      0
456	    -0.0449009    149.094      0.677065
457     0    0      0
458     -0.0343935    22.142      1.9306
459     0    0      0
460     -0.03482	   13.68      0.4442
461     0    0      0
462     -0.04189    8.21      1.8425
463     0    0      0
464     -0.03482	   13.68      0.4442
465     0    0      0
466     -0.04189    8.21      1.8425
467     0    0      0
468     -0.03482	   13.68      0.4442
469     0    0      0
470     -0.04189    8.21      1.8425
471     0    0      0
472     -0.03482	   13.68      0.4442
473     0    0      0
474     -0.04189    8.21      1.8425
475     0    0      0
476     -0.03482	   13.68      0.4442
477     0    0      0
478     -0.04189    8.21      1.8425
479     0    0      0
480     0    0      0
481     0    0      0
482     0    0      0
483     0    0      0
484     0    0      0
485     0    0      0
486     0    0      0
487     0    0      0
488     0    0      0
489     0    0      0
490     0    0      0
491     0    0      0
492     0    0      0
493     0    0      0
494     0    0      0
495     0    0      0
496     0    0      0
497     0    0      0
498     0    0      0
499     0    0      0
500     0    0      0
501     0    0      0
502     0    0      0
503     0    0      0
504     0    0      0
505     0    0      0
506     0    0      0
507     0    0      0
508     0    0      0
509     0    0      0
510     0    0      0
511     0    0      0
512     -0.03482	   13.68      0.4442
513     0    0      0
514     -0.04189    8.21      1.8425
515     0    0      0
516     -0.03482	   13.68      0.4442
517     0    0      0
518     -0.04189    8.21      1.8425
519     0    0      0
520     -0.03482	   13.68      0.4442
521     0    0      0
522     -0.04189    8.21      1.8425
523     0    0      0
524     -0.03482	   13.68      0.4442
525     0    0      0
526     -0.04189    8.21      1.8425
527     0    0      0
528     -0.03482	   13.68      0.4442
529     0    0      0
530     -0.04189    8.21      1.8425
531     0    0      0
532     -0.03482	   13.68      0.4442
533     0    0      0
