CROCUS    6278  6726     1    2018_01_25
*-----   MUV & SAV Crocus Reference Table
*-----      From run 6610 taken 2017_08_21, 20 bursts 
*----- 0430 0243 0558 0499 0634 0469 0677 0644 0566 0475 0335 0525 0017 0171 0032 0208 0594 0770 0546 0556
*-----  These are the first 20 bursts from Paul's Calibration sample.
*-----
*-----      Jurgen Engelfried, 25 January 2018
*-----                                                                
*-----     NCR  Unit    J  K    ix  iy   HITS-J   HITS-K     diff     
*-----     ___________________________________________________________
********                                                              
 
 >>Cream     3  3103    0 16     3   0   165805   206011   -40206.     609.8     -65.9
             3  3103    1 17     3   0   176551   211956   -35405.     623.3     -56.8
             3  3103    2 18     3   0   172046   244273   -72227.     645.2    -111.9
             3  3103    3 19     3   0   203753   280370   -76617.     695.8    -110.1
             3  3103    4 20     3   0   215651   348606  -132955.     751.2    -177.0
             3  3103    5 21     3   0   212071   282006   -69935.     702.9     -99.5
             3  3103    6 22     3   0   280323   372152   -91829.     807.8    -113.7
             3  3103    7 23     3   0   241899   337240   -95341.     761.0    -125.3
             3  3103    8 24     3   0   285645   342965   -57320.     792.8     -72.3
             3  3103    9 25     3   0   292942   357776   -64834.     806.7     -80.4
             3  3103   10 26     3   0        0   397353  -397353.     630.4    -630.4
             3  3103   11 27     3   0   301165   392598   -91433.     832.9    -109.8
             3  3103   12 28     3   0        0   444178  -444178.     666.5    -666.5
             3  3103   13 29     3   0   379155   417533   -38378.     892.6     -43.0
             3  3103   14 30     3   0   464031   523683   -59652.     993.8     -60.0
             3  3103   15 31     3   0   422176   471600   -49424.     945.4     -52.3
 
 >>Cream     4  3104    0 16     4   0   527347   561834   -34487.    1043.6     -33.0
             4  3104    1 17     4   0   500461   548486   -48025.    1024.2     -46.9
             4  3104    2 18     4   0   603829   613238    -9409.    1103.2      -8.5
             4  3104    3 19     4   0   592156   588319     3837.    1086.5       3.5
             4  3104    4 20     4   0   626156   650751   -24595.    1130.0     -21.8
             4  3104    5 21     4   0   634275   634259       16.    1126.3       0.0
             4  3104    6 22     4   0   697535   701934    -4399.    1183.0      -3.7
             4  3104    7 23     4   0   704811   705791     -980.    1187.7      -0.8
             4  3104    8 24     4   0   771054   791732   -20678.    1250.1     -16.5
             4  3104    9 25     4   0   774509   758923    15586.    1238.3      12.6
             4  3104   10 26     4   0   867663   828972    38691.    1302.5      29.7
             4  3104   11 27     4   0   836438   822756    13682.    1288.1      10.6
             4  3104   12 28     4   0   923212   866291    56921.    1337.7      42.6
             4  3104   13 29     4   0   892017   875999    16018.    1329.7      12.0
             4  3104   14 30     4   0   992725   920799    71926.    1383.3      52.0
             4  3104   15 31     4   0   977095   900312    76783.    1370.2      56.0
 
 >>Cream     5  3105    0 16     5   0  1014768   957526    57242.    1404.4      40.8
             5  3105    1 17     5   0  1026894   911414   115480.    1392.2      82.9
             5  3105    2 18     5   0  1050156   725990   324166.    1332.7     243.2
             5  3105    3 19     5   0  1053907   725542   328365.    1334.0     246.2
             5  3105    4 20     5   0  1042943   713355   329588.    1325.3     248.7
             5  3105    5 21     5   0  1038478   725002   313476.    1328.0     236.1
             5  3105    6 22     5   0  1017054   946287    70767.    1401.2      50.5
