0 10 20
1 10 20
2 10 20
3 10 20
4 10 20
5 10 20
6 10 20
7 10 20
8 10 20
9 10 20
10 10 20
11 10 20
12 10 20
13 10 20
14 10 20
15 10 20
16 10 20
17 10 20
18 10 20
19 10 20
20 10 20
21 10 20
22 10 20
23 10 20
24 10 20
25 10 20
26 10 20
27 10 20
28 10 20
29 10 20
30 10 20
31 10 20
32 10 20
33 10 20
34 10 20
35 10 20
36 10 20
37 10 20
38 10 20
39 10 20
40 10 20
41 10 20
42 10 20
43 10 20
44 10 20
45 10 20
46 10 20
47 10 20
48 10 20
49 10 20
50 10 20
51 10 20
52 10 20
53 10 20
54 10 20
55 10 20
56 10 20
57 10 20
58 10 20
59 10 20
60 10 20
61 10 20
62 10 20
63 10 20
64 10 20
65 10 20
66 10 20
67 10 20
68 10 20
69 10 20
70 10 20
71 10 20
72 10 20
73 10 20
74 10 20
75 10 20
76 10 20
77 10 20
78 10 20
79 10 20
80 10 20
81 10 20
82 10 20
83 10 20
84 10 20
85 10 20
86 10 20
87 10 20
88 10 20
89 10 20
90 10 20
91 10 20
92 10 20
93 10 20
94 10 20
95 10 20
96 10 20
97 10 20
98 10 20
99 10 20
100 10 20
101 10 20
102 10 20
103 10 20
104 10 20
105 10 20
106 10 20
107 10 20
108 10 20
109 10 20
110 10 20
111 10 20
112 10 20
113 10 20
114 10 20
115 10 20
116 10 20
117 10 20
118 10 20
119 10 20
120 10 20
121 10 20
122 10 20
123 10 20
124 10 20
125 10 20
126 10 20
127 10 20
128 10 20
129 10 20
130 10 20
131 10 20
132 10 20
133 10 20
134 10 20
135 10 20
136 10 20
137 10 20
138 10 20
139 10 20
140 10 20
141 10 20
142 10 20
143 10 20
144 10 20
145 10 20
146 10 20
147 10 20
148 10 20
149 10 20
150 10 20
151 10 20
152 10 20
153 10 20
154 10 20
155 10 20
156 10 20
157 10 20
158 10 20
159 10 20
160 10 20
161 10 20
162 10 20
163 10 20
164 10 20
165 10 20
166 10 20
167 10 20
168 10 20
169 10 20
170 10 20
171 10 20
172 10 20
173 10 20
174 10 20
175 10 20
176 10 20
177 10 20
178 10 20
179 10 20
