  CROCUS    3790  3820     1    2018_01_25
*-----         LKr Crocus Reference Table
*-----      From run 3809 taken 2017_08_21, 50 bursts from 101-161 
*-----
*-----      Jurgen Engelfried, 29 November 2018
*-----                                                                
*-----     NCR  Unit    J  K    ix  iy   HITS-J   HITS-K     diff     
*-----     ___________________________________________________________
********                                                              

 >>Cream     4   103    0 16     0  95        0        0        0.       0.0       0.0
             4   103    1 17     0  94        0        0        0.       0.0       0.0
             4   103    2 18     0  93        0        0        0.       0.0       0.0
             4   103    3 19     0  92        0        0        0.       0.0       0.0
             4   103    4 20     0  91        0     1808    -1808.      42.5     -42.5
             4   103    5 21     0  90        0      767     -767.      27.7     -27.7
             4   103    6 22     0  89        0     1536    -1536.      39.2     -39.2
             4   103    7 23     0  88        0     1299    -1299.      36.0     -36.0
             4   103    8 24     1  95        0        0        0.       0.0       0.0
             4   103    9 25     1  94        0        0        0.       0.0       0.0
             4   103   10 26     1  93        0        0        0.       0.0       0.0
             4   103   11 27     1  92        0     1372    -1372.      37.0     -37.0
             4   103   12 28     1  91        0      742     -742.      27.2     -27.2
             4   103   13 29     1  90     3394      934     2460.      65.8      37.4
             4   103   14 30     1  89     1122     2669    -1547.      61.6     -25.1
             4   103   15 31     1  88      773      913     -140.      41.1      -3.4
 
 >>Cream     5   107    0 16     0  87        0     6371    -6371.      79.8     -79.8
             5   107    1 17     0  86        0    39647   -39647.     199.1    -199.1
             5   107    2 18     0  85        0     1589    -1589.      39.9     -39.9
             5   107    3 19     0  84        0    16474   -16474.     128.4    -128.4
             5   107    4 20     0  83        0    13048   -13048.     114.2    -114.2
             5   107    5 21     0  82        0    61363   -61363.     247.7    -247.7
             5   107    6 22     0  81        0     2179    -2179.      46.7     -46.7
             5   107    7 23     0  80        0    13426   -13426.     115.9    -115.9
             5   107    8 24     1  87     1096    46733   -45637.     218.7    -208.7
             5   107    9 25     1  86      832    36200   -35368.     192.4    -183.8
             5   107   10 26     1  85      969    13353   -12384.     119.7    -103.5
             5   107   11 27     1  84      790     4775    -3985.      74.6     -53.4
             5   107   12 28     1  83     1206    20879   -19673.     148.6    -132.4
             5   107   13 29     1  82     3028    13762   -10734.     129.6     -82.8
             5   107   14 30     1  81        0     4477    -4477.      66.9     -66.9
             5   107   15 31     1  80      905     1387     -482.      47.9     -10.1
 
 >>Cream     6   113    0 16     0  79        0     8237    -8237.      90.8     -90.8
             6   113    1 17     0  78        0    15530   -15530.     124.6    -124.6
             6   113    2 18     0  77        0    51145   -51145.     226.2    -226.2
             6   113    3 19     0  76        0     4763    -4763.      69.0     -69.0
             6   113    4 20     0  75        0     2764    -2764.      52.6     -52.6
             6   113    5 21     0  74        0     2712    -2712.      52.1     -52.1
             6   113    6 22     0  73        0     5848    -5848.      76.5     -76.5
             6   113    7 23     0  72        0     8105    -8105.      90.0     -90.0
             6   113    8 24     1  79     1014   211779  -210765.     461.3    -456.9
             6   113    9 25     1  78  1058268     3959  1054309.    1030.6    1023.0
             6   113   10 26     1  77     1978     6250    -4272.      90.7     -47.1
             6   113   11 27     1  76    11847     8224     3623.     141.7      25.6
             6   113   12 28     1  75     7628     4760     2868.     111.3      25.8
