CHAPEDES  7000  7999     1    2017_11_18
    0    0   99     0.00    0.00
    1    0   99     0.00    0.00
    2    0   99     0.00    0.00
    3    0   99     0.00    0.00
    4    0   99     0.00    0.00
    5    0   99     0.00    0.00
    6    0   99     0.00    0.00
    7    0   99     0.00    0.00
    8    0   99     0.00    0.00
    9    0   99     0.00    0.00
   10    0   99     0.00    0.00
   11    0   99     0.00    0.00
   12    0   99     0.00    0.00
   13    0   99     0.00    0.00
   14    0   99     0.00    0.00
   15    0   99     0.00    0.00
   16    0   99     0.00    0.00
   17    0   99     0.00    0.00
   18    0   99     0.00    0.00
   19    0   99     0.00    0.00
   20    0   99     0.00    0.00
   21    0   99     0.00    0.00
   22    0   99     0.00    0.00
   23    0   99     0.00    0.00
   24    0   99     0.00    0.00
   25    0   99     0.00    0.00
   26    0   99     0.00    0.00
   27    0   99     0.00    0.00
   28    0   99     0.00    0.00
   29    0   99     0.00    0.00
   30    0   99     0.00    0.00
   31    0   99     0.00    0.00
   32    0   99     0.00    0.00
   33    0   99     0.00    0.00
   34    0   99     0.00    0.00
   35    0   99     0.00    0.00
   36    0   99     0.00    0.00
   37    0   99     0.00    0.00
   38    0    0   398.14    2.63
   39    0    0   401.05    2.32
   40    0    0   398.68    2.37
   41    0    0   402.20    2.48
   42    0    0   393.36    2.31
   43    0    0   399.00    2.40
   44    0    0   404.41    2.49
   45    0    0   400.46    2.74
   46    0    0   399.53    2.92
   47    0    0   398.19    2.64
   48    0    0   398.73    2.17
   49    0    0   397.45    2.33
   50    0    0   402.81    2.28
   51    0    0   400.16    2.23
   52    0    0   400.20    2.02
   53    0    0   401.41    2.26
   54    0    0   400.54    2.12
   55    0    0   404.59    2.08
   56    0    0   404.94    2.23
   57    0    0   401.74    2.21
   58    0    0   408.66    2.23
   59    0    0   403.75    2.23
   60    0    0   399.56    2.25
   61    0    0   399.82    2.24
   62    0    0   384.43    2.41
   63    0    0   400.07    2.92
   64    0    0   399.05    2.62
   65    0    0   403.26    2.52
   66    0    0   410.98    2.22
   67    0    0   399.46    2.24
   68    0    0   399.39    2.41
   69    0    0   401.51    2.51
   70    0    0   399.18    2.64
   71    0    0   399.86    2.66
   72    0    0   400.97    2.29
   73    0    0   398.54    2.24
