# channel, QEq. factor, function parameters 
# function: 1./[0] * ([0] * TMath::Exp(-([2] - TMath::Abs(x))/[1]) + (1 - [0]) * TMath::Exp(-([2] + TMath::Abs(x))/[1]))

QPositionFunction= 1./[0]*([0]*TMath::Exp(-([2]-TMath::Abs(x))/[1])+(1-[0])*TMath::Exp(-([2]+TMath::Abs(x))/[1]))

101 1. 0.540713 1500 1300
102 0.5 0.540713 1500 1300
103 1.39145 0.540713 1500 1300
104 1.34741 0.548049 1500 1300
105 1.21454 0.508857 1610.67 1300
106 1.26124 0.488625 1500 1300
107 1.10749 0.498201 1630.87 1300
108 1.17696 0.50299 1622.64 1300
109 1.07401 0.492268 1876.81 1300
110 1.1778 0.454893 1507.39 1300
111 0.984179 0.430553 1500 1242
112 1.0293 0.413832 1500 1242
113 1.18079 0.52821 1840.41 1300
114 1.13812 0.524401 1860.86 1300
115 1.0867 0.511259 1767.65 1300
116 1.21726 0.505738 1563.7 1300
117 1.08074 0.530691 1738.75 1300
118 1.27152 0.557809 1637.51 1300
119 0.835625 0.541096 1500 1300
120 0.67797 0.454268 1500 1300
121 0.67797 0.454268 1500 1300
122 1 0.454268 1500 1300


151 1. 0.549098 2016.9 1300
152 0.372144 0.549098 2016.9 1300
153 1.8631 0.530644 1500 1300
154 1.25487 0.516902 1500 1300
155 1.32186 0.522902 1500 1300
156 1.23907 0.505532 1500 1300
157 1.11364 0.53706 1859.36 1300
158 1.64527 0.535273 1500 1300
159 1.16734 0.505196 1568.73 1300
160 1.37364 0.564568 1500 1300
161 1.32581 0.59456 2200 1242
162 1.06272 0.470749 1500 1242
163 1.02419 0.509197 1811.68 1300
164 1.17385 0.527879 1754.85 1300
165 1.23037 0.519941 1627.02 1300
166 1.50373 0.506781 1593.56 1300
167 1.52311 0.503342 1542.31 1300
168 1.1902 0.514889 1500 1300
169 1.29086 0.54784 1600.19 1300
170 1.43222 0.53686 1752.01 1300
171 1.21865 0.532031 1587.84 1300
172 1.06199 0.573497 1500 1300


201 1. 0.551914 1500 1300
202 1.12259 0.551914 1500 1300
203 1.60961 0.686465 1500 1300
204 1.64219 0.737753 1500 1300
205 1.23613 0.517386 1512.51 1300
206 1.231 0.49591 1500 1300
207 1.21056 0.496363 1563.31 1300
208 1.27207 0.497762 1500 1300
209 1.2259 0.516742 1679.25 1300
210 1.56776 0.514078 1500 1300
211 1.10856 0.421414 1500 1242
212 1.09181 0.43465 1685.29 1242
213 1.29679 0.513573 1562.41 1300
214 1.28152 0.541914 1579.29 1300
215 1.61692 0.64078 1500 1300
216 1.62067 0.600276 1500 1300
217 1.302 0.55605 1500 1300
218 1.07171 0.564866 1729.51 1300
219 1.34047 0.550512 1500 1300
220 1.16783 0.589528 2200 1300
221 0.5 0.589528 2200 1300
222 1. 0.589528 2200 1300


251 1. 0.537882 1500 1300
252 1.2635 0.537882 1500 1300
253 1.13651 0.529251 1589.34 1300
254 1.84794 0.549249 1500 1300
255 1.22657 0.519762 1500 1300
256 1.26611 0.516791 1500 1300
257 1.91048 0.539484 1500 1300
258 1.14066 0.489895 1550.14 1300
259 1.07282 0.524826 1981.97 1300
260 1.23354 0.542668 1500 1300
261 1.06106 0.426885 1528.24 1242
262 0.985437 0.426734 1500 1242
263 1.05625 0.516817 1874.66 1300
264 1.11165 0.525222 1955.62 1300
265 1.28745 0.533929 1500 1300
266 1.23483 0.531092 1643.65 1300
267 1.16516 0.548381 1500 1300
268 1.26093 0.504327 1500 1300
269 1.48259 0.562355 1500 1300
270 0.888053 0.575533 1500 1300
271 1.15748 0.607269 2199.86 1300
272 1. 0.607269 2199.86 1300



