# Generated with run 8636, valid from run 8623.
# Stretching values of FE thresholds for channels with ROID 576-608
# put back to correct values from run 8623
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
0 	 13.1361 	 17.1361 	 0.194037 	 -0.296251
1 	 12.6523 	 16.6523 	 0.472478 	 -0.391613
2 	 12.3137 	 16.3137 	 0.439061 	 -0.439903
3 	 12.1353 	 16.1353 	 0.315942 	 -0.519239
4 	 13.2278 	 17.2278 	 0.20362 	 -0.452668
5 	 12.458 	 16.458 	 0.201164 	 -0.324212
6 	 12.2927 	 16.2927 	 0.349902 	 -0.445444
7 	 13.0105 	 17.0105 	 0.443086 	 -0.260494
8 	 12.9833 	 16.9833 	 0.33951 	 -0.477539
9 	 13.2945 	 17.2945 	 0.312356 	 -0.370683
10 	 13.5462 	 17.5462 	 0.0153754 	 -0.245602
11 	 12.9452 	 16.9452 	 0.252796 	 -0.487007
12 	 12.9702 	 16.9702 	 0.404053 	 -0.491321
13 	 12.4486 	 16.4486 	 0.345276 	 -0.50861
14 	 13.3347 	 17.3347 	 0.341106 	 -0.421169
15 	 13.148 	 17.148 	 0.361771 	 -0.493872
16 	 13.8693 	 17.8693 	 0.163768 	 -0.236065
17 	 13.7105 	 17.7105 	 0.307649 	 -0.350715
18 	 13.8207 	 17.8207 	 0.26169 	 -0.36698
19 	 13.6549 	 17.6549 	 0.29653 	 -0.40552
20 	 13.7902 	 17.7902 	 0.266672 	 -0.323336
21 	 13.6393 	 17.6393 	 0.20432 	 -0.355705
22 	 13.5135 	 17.5135 	 0.241286 	 -0.365674
23 	 13.3496 	 17.3496 	 0.263678 	 -0.314998
24 	 12.552 	 16.552 	 0.286089 	 -0.33246
25 	 12.7694 	 16.7694 	 0.277593 	 -0.315457
26 	 13.2611 	 17.2611 	 0.219383 	 -0.255944
27 	 12.8284 	 16.8284 	 0.262525 	 -0.322691
28 	 12.6856 	 16.6856 	 0.24174 	 -0.289521
29 	 12.6488 	 16.6488 	 0.372766 	 -0.455704
30 	 12.8778 	 16.8778 	 0.273224 	 -0.333919
31 	 12.7781 	 16.7781 	 0.26774 	 -0.313269
32 	 12.2475 	 16.2475 	 0.400141 	 -0.458499
33 	 12.6342 	 16.6342 	 0.29275 	 -0.373301
34 	 12.6687 	 16.6687 	 0.270894 	 -0.332129
35 	 12.153 	 16.153 	 0.318506 	 -0.396277
36 	 12.5553 	 16.5553 	 0.295103 	 -0.356504
37 	 12.2198 	 16.2198 	 0.320548 	 -0.382522
38 	 11.9051 	 15.9051 	 0.391017 	 -0.438282
39 	 12.7865 	 16.7865 	 0.318025 	 -0.34532
40 	 13.0595 	 17.0595 	 0.213015 	 -0.253127
41 	 13.4718 	 17.4718 	 0.243901 	 -0.288307
42 	 13.3604 	 17.3604 	 0.211452 	 -0.243931
43 	 13.86 	 17.86 	 0.196214 	 -0.236959
44 	 13.4678 	 17.4678 	 0.291506 	 -0.319062
45 	 13.5977 	 17.5977 	 0.216709 	 -0.288128
46 	 13.4841 	 17.4841 	 0.185051 	 -0.238336
47 	 13.2904 	 17.2904 	 0.294617 	 -0.32267
48 	 12.6759 	 16.6759 	 0.073217 	 -0.396256
49 	 12.3653 	 16.3653 	 0.115141 	 -0.564259
50 	 12.7366 	 16.7366 	 0.141703 	 -0.467201
51 	 12.6387 	 16.6387 	 0.0409961 	 -0.423544
52 	 12.402 	 16.402 	 0.0500354 	 -0.465796
53 	 12.8914 	 16.8914 	 -0.00219503 	 -0.43138
54 	 12.7371 	 16.7371 	 0.106731 	 -0.402103
55 	 12.2448 	 16.2448 	 0.0379283 	 -0.507581
56 	 13.577 	 17.577 	 0.0579022 	 -0.43639
57 	 14.3507 	 18.3507 	 0.116892 	 -0.420459
58 	 13.7564 	 17.7564 	 0.0929351 	 -0.442906
59 	 14.0824 	 18.0824 	 0.0466621 	 -0.38598
60 	 14.9819 	 18.9819 	 0.0912561 	 -0.377501
61 	 14.2013 	 18.2013 	 0.135594 	 -0.422411
62 	 14.1138 	 18.1138 	 0.093057 	 -0.439226
63 	 14.4537 	 18.4537 	 0.147386 	 -0.418043
64 	 14.0973 	 18.0973 	 0.0534644 	 -0.332218
65 	 14.298 	 18.298 	 0.0605946 	 -0.315926
66 	 14.0418 	 18.0418 	 0.0399083 	 -0.28955
67 	 14.4515 	 18.4515 	 0.0982066 	 -0.359548
68 	 13.7418 	 17.7418 	 0.0901227 	 -0.337618
69 	 14.4431 	 18.4431 	 0.0805011 	 -0.244215
70 	 14.3374 	 18.3374 	 0.0434611 	 -0.212
71 	 14.4363 	 18.4363 	 0.0642294 	 -0.313715
72 	 14.1222 	 18.1222 	 0.132514 	 -0.43599
73 	 13.55 	 17.55 	 0.107732 	 -0.429791
74 	 14.1304 	 18.1304 	 0.10365 	 -0.348844
75 	 13.6376 	 17.6376 	 0.183111 	 -0.438622
76 	 14.1289 	 18.1289 	 0.132797 	 -0.395287
77 	 14.1888 	 18.1888 	 0.125859 	 -0.364954
78 	 13.9327 	 17.9327 	 0.0740792 	 -0.274937
79 	 14.2841 	 18.2841 	 0.0678709 	 -0.35492
80 	 13.2388 	 17.2388 	 0.0487324 	 -0.583897
81 	 14.1654 	 18.1654 	 0.101621 	 -0.432238
82 	 13.8866 	 17.8866 	 0.0915016 	 -0.46976
83 	 13.8909 	 17.8909 	 0.0957622 	 -0.558376
84 	 13.9541 	 17.9541 	 0.104509 	 -0.508327
85 	 13.9946 	 17.9946 	 0.143625 	 -0.530297
86 	 13.8641 	 17.8641 	 0.179738 	 -0.540196
87 	 14.3538 	 18.3538 	 0.0882658 	 -0.427036
88 	 13.8725 	 17.8725 	 0.2849 	 -0.317459
89 	 13.1332 	 17.1332 	 0.531709 	 -0.474065
90 	 14.2822 	 18.2822 	 0.265167 	 -0.323054
91 	 14.1779 	 18.1779 	 0.275832 	 -0.341491
92 	 14.3293 	 18.3293 	 0.264029 	 -0.312223
93 	 14.2136 	 18.2136 	 0.263553 	 -0.3102
94 	 14.0717 	 18.0717 	 0.296979 	 -0.350057
95 	 14.1247 	 18.1247 	 0.184625 	 -0.324561
96 	 12.7774 	 16.7774 	 0.281152 	 -0.436153
97 	 12.7235 	 16.7235 	 0.14075 	 -0.452457
98 	 12.6753 	 16.6753 	 0.175104 	 -0.408495
99 	 12.428 	 16.428 	 0.145559 	 -0.426628
100 	 12.7947 	 16.7947 	 0.257876 	 -0.366334
101 	 12.6336 	 16.6336 	 0.117078 	 -0.29808
102 	 12.742 	 16.742 	 0.0100838 	 -0.328968
103 	 12.6999 	 16.6999 	 0.196145 	 -0.504833
104 	 12.3205 	 16.3205 	 0.245545 	 -0.445254
105 	 13.3287 	 17.3287 	 0.213193 	 -0.309241
106 	 14.0414 	 18.0414 	 0.205281 	 -0.314492
107 	 12.833 	 16.833 	 0.184871 	 -0.328663
108 	 13.4499 	 17.4499 	 0.208324 	 -0.346603
109 	 12.1278 	 16.1278 	 0.296076 	 -0.442851
110 	 13.3306 	 17.3306 	 0.221667 	 -0.383642
111 	 12.7138 	 16.7138 	 0.296054 	 -0.43394
112 	 13.2533 	 17.2533 	 0.301258 	 -0.355889
113 	 13.4893 	 17.4893 	 0.252433 	 -0.306282
114 	 13.6957 	 17.6957 	 0.229664 	 -0.287025
115 	 13.436 	 17.436 	 0.215083 	 -0.379493
116 	 13.5137 	 17.5137 	 0.279204 	 -0.340357
117 	 13.4527 	 17.4527 	 0.216894 	 -0.316363
