# Slewing corrections obtained with run 1520 (minimum bias)
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
0 	 15.5736 	 22.5736 	 -0.0978173 	 -0.327821
1 	 14.769 	 21.769 	 0.184894 	 -0.863226
2 	 14.4047 	 21.4047 	 0.203209 	 -0.774501
3 	 14.5596 	 21.5596 	 0.214405 	 -0.334178
4 	 15.2931 	 22.2931 	 0.046078 	 -0.136821
5 	 14.7334 	 21.7334 	 0.0954155 	 -0.526083
6 	 14.5016 	 21.5016 	 0.147673 	 -0.466085
7 	 15.0783 	 22.0783 	 0.0890015 	 -0.521065
8 	 15.5946 	 22.5946 	 0.689554 	 0.277086
9 	 15.4022 	 22.4022 	 0.47201 	 0.336809
10 	 15.5762 	 22.5762 	 0.461846 	 0.186196
11 	 15.3838 	 22.3838 	 1.00415 	 0.183695
12 	 15.1442 	 22.1442 	 0.970064 	 0.244036
13 	 14.712 	 21.712 	 0.805251 	 0.131505
14 	 15.5264 	 22.5264 	 0.768735 	 0.128153
15 	 15.2326 	 22.2326 	 0.948096 	 0.353525
16 	 17.0041 	 24.0041 	 0.799142 	 -0.364726
17 	 16.4566 	 23.4566 	 0.487156 	 -0.0816606
18 	 16.5402 	 23.5402 	 0.307672 	 0.169656
19 	 16.8687 	 23.8687 	 0.737879 	 -0.386774
20 	 16.5011 	 23.5011 	 0.688777 	 -0.102097
21 	 16.5796 	 23.5796 	 0.381218 	 0.426626
22 	 16.3897 	 23.3897 	 0.502556 	 -0.225829
23 	 16.1208 	 23.1208 	 0.341819 	 -0.267601
24 	 14.6139 	 21.6139 	 1.39149 	 0.605828
25 	 14.5185 	 21.5185 	 1.23787 	 0.427509
26 	 15.0283 	 22.0283 	 1.29911 	 0.550079
27 	 14.8278 	 21.8278 	 1.28544 	 0.575188
28 	 14.4097 	 21.4097 	 1.03873 	 0.436739
29 	 14.6056 	 21.6056 	 1.48633 	 0.530643
30 	 14.789 	 21.789 	 1.06919 	 0.406907
31 	 14.5823 	 21.5823 	 1.18237 	 0.439817
32 	 14.6816 	 21.6816 	 0.841714 	 -0.151371
33 	 14.6578 	 21.6578 	 0.707411 	 -0.0514119
34 	 14.7909 	 21.7909 	 0.755182 	 -0.0608129
35 	 14.548 	 21.548 	 0.922909 	 -0.0719267
36 	 14.6705 	 21.6705 	 0.703164 	 -0.0681115
37 	 14.5928 	 21.5928 	 0.677634 	 -0.218951
38 	 14.164 	 21.164 	 0.874251 	 -0.0961308
39 	 14.8839 	 21.8839 	 0.787494 	 -0.0264881
40 	 15.303 	 22.303 	 0.980172 	 0.313372
41 	 15.3869 	 22.3869 	 0.919716 	 0.220777
42 	 15.1753 	 22.1753 	 0.946558 	 0.319542
43 	 15.9574 	 22.9574 	 0.922083 	 0.427854
44 	 15.4241 	 22.4241 	 0.945467 	 0.314701
45 	 15.6612 	 22.6612 	 0.887415 	 0.23301
46 	 15.2988 	 22.2988 	 0.84391 	 0.188277
47 	 15.1871 	 22.1871 	 0.977724 	 0.424997
48 	 14.5364 	 21.5364 	 1.41158 	 0.802915
49 	 13.9696 	 20.9696 	 1.73802 	 0.863963
50 	 14.3548 	 21.3548 	 1.56347 	 0.97367
51 	 14.5326 	 21.5326 	 1.48648 	 0.766198
52 	 14.0093 	 21.0093 	 1.42328 	 0.617309
53 	 14.6089 	 21.6089 	 1.40204 	 0.787147
54 	 14.4541 	 21.4541 	 1.3785 	 0.879774
55 	 13.8661 	 20.8661 	 1.56207 	 0.910794
56 	 17.1924 	 24.1924 	 1.04904 	 -0.25807
57 	 17.4102 	 24.4102 	 0.806793 	 -0.434197
58 	 16.822 	 23.822 	 1.1128 	 -0.176762
59 	 17.5041 	 24.5041 	 1.01289 	 -0.0837284
60 	 18.0697 	 25.0697 	 0.970233 	 -0.495667
61 	 17.5153 	 24.5153 	 0.934194 	 -0.481986
62 	 17.3067 	 24.3067 	 1.01761 	 -0.180432
63 	 17.4952 	 24.4952 	 1.09345 	 0.0541559
64 	 17.5037 	 24.5037 	 0.431328 	 -0.741779
65 	 17.231 	 24.231 	 0.173884 	 0.00439502
66 	 16.869 	 23.869 	 0.462306 	 -0.330744
67 	 17.7763 	 24.7763 	 0.369225 	 -0.251855
68 	 16.8072 	 23.8072 	 0.451854 	 -0.226809
69 	 17.6095 	 24.6095 	 0.186048 	 -0.263883
70 	 17.457 	 24.457 	 0.204404 	 -0.70881
71 	 17.4672 	 24.4672 	 0.270564 	 -0.647525
72 	 17.8276 	 24.8276 	 -0.233698 	 -0.494822
73 	 16.6046 	 23.6046 	 -0.326757 	 -0.755288
74 	 16.969 	 23.969 	 -0.498102 	 -0.49816
75 	 17.1579 	 24.1579 	 -0.116367 	 -0.387719
76 	 17.0902 	 24.0902 	 -0.22153 	 -0.551353
77 	 17.3133 	 24.3133 	 -0.341408 	 -0.895685
78 	 17.0607 	 24.0607 	 -0.381037 	 -0.470633
79 	 17.3371 	 24.3371 	 -0.263237 	 -0.514707
80 	 16.3009 	 23.3009 	 0.911132 	 0.311795
81 	 16.7951 	 23.7951 	 0.50431 	 -0.090097
82 	 16.4997 	 23.4997 	 0.760369 	 0.189903
83 	 16.843 	 23.843 	 1.12 	 0.119679
84 	 16.4986 	 23.4986 	 0.737708 	 0.158261
85 	 16.7533 	 23.7533 	 0.813459 	 0.272223
86 	 16.6081 	 23.6081 	 0.859641 	 0.049593
87 	 17.0173 	 24.0173 	 0.875752 	 -0.00706327
88 	 16.3215 	 23.3215 	 0.330122 	 -0.298074
89 	 16.0002 	 23.0002 	 0.47893 	 -0.13401
90 	 15.9041 	 22.9041 	 0.280954 	 -0.185924
91 	 16.5121 	 23.5121 	 0.58891 	 0.0887441
92 	 16.3535 	 23.3535 	 0.285484 	 -0.239563
93 	 16.3839 	 23.3839 	 0.459803 	 -0.48986
94 	 16.1575 	 23.1575 	 0.388333 	 -0.266406
95 	 15.9342 	 22.9342 	 0.338692 	 -0.150025
96 	 15.2279 	 22.2279 	 0.693143 	 0.167088
97 	 14.7711 	 21.7711 	 0.933841 	 0.196117
98 	 14.6393 	 21.6393 	 0.678467 	 0.184156
99 	 14.7559 	 21.7559 	 0.38749 	 0.807647
100 	 14.8495 	 21.8495 	 0.558235 	 0.422283
101 	 14.7763 	 21.7763 	 0.64553 	 0.554625
102 	 14.8562 	 21.8562 	 0.436801 	 0.677583
103 	 14.6282 	 21.6282 	 0.829638 	 0.145959
104 	 14.7446 	 21.7446 	 0.507889 	 0.681343
105 	 15.4024 	 22.4024 	 0.809588 	 0.327898
106 	 16.0666 	 23.0666 	 0.990254 	 0.220454
107 	 15.18 	 22.18 	 0.636396 	 0.411538
108 	 15.5028 	 22.5028 	 1.00671 	 -0.0382977
109 	 14.4986 	 21.4986 	 0.762421 	 0.440709
110 	 15.473 	 22.473 	 0.755505 	 0.222767
111 	 14.8034 	 21.8034 	 0.853334 	 0.233444
112 	 16.7214 	 23.7214 	 0.106429 	 -0.600061
113 	 17.048 	 24.048 	 0.153168 	 -0.402986
114 	 16.7815 	 23.7815 	 0.324645 	 -0.165191
115 	 16.7896 	 23.7896 	 -0.19033 	 0.677519
116 	 16.4939 	 23.4939 	 0.132954 	 -0.211808
117 	 16.6768 	 23.6768 	 0.341287 	 -0.461231
118 	 16.7566 	 23.7566 	 0.363536 	 0.263279
119 	 16.9133 	 23.9133 	 0.251771 	 -0.810523
120 	 15.7366 	 22.7366 	 1.2246 	 0.675476
121 	 14.656 	 21.656 	 1.32716 	 0.460384
122 	 14.7606 	 21.7606 	 1.23381 	 0.332216
123 	 15.6864 	 22.6864 	 1.12372 	 0.363287
124 	 14.9726 	 21.9726 	 1.22764 	 0.291392
125 	 14.8277 	 21.8277 	 1.44109 	 0.529583
126 	 14.6701 	 21.6701 	 1.1641 	 0.28864
127 	 14.5682 	 21.5682 	 1.12331 	 0.25808
128 	 15.3541 	 22.3541 	 1.20213 	 0.426608
129 	 15.5361 	 22.5361 	 1.23295 	 0.234363
130 	 15.5636 	 22.5636 	 1.23884 	 0.308687
131 	 15.6625 	 22.6625 	 1.02189 	 0.445797
132 	 15.6697 	 22.6697 	 1.16765 	 0.498565
133 	 15.5145 	 22.5145 	 0.949792 	 0.492464
134 	 15.5766 	 22.5766 	 1.17028 	 0.404285
135 	 16.0522 	 23.0522 	 1.31548 	 0.430416
136 	 16.0356 	 23.0356 	 0.919595 	 0.468746
137 	 15.2081 	 22.2081 	 0.439114 	 0.0186319
138 	 15.226 	 22.226 	 0.758011 	 0.11297
139 	 15.7137 	 22.7137 	 0.908402 	 0.398824
140 	 15.1791 	 22.1791 	 0.57211 	 -0.108422
141 	 15.7894 	 22.7894 	 0.754308 	 0.109891
142 	 15.6672 	 22.6672 	 0.762073 	 0.229498
143 	 -3.5 	 3.5 	 0 	 0
