# generated with run 3532
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
0 	 10.4684 	 17.4684 	 0.401361 	 -0.150298
1 	 10.0433 	 17.0433 	 0.51748 	 -0.363037
2 	 9.698 	 16.698 	 0.652577 	 -0.563812
3 	 9.56393 	 16.5639 	 0.469216 	 -0.0988571
4 	 10.5778 	 17.5778 	 0.315401 	 0.0899575
5 	 9.88232 	 16.8823 	 0.711901 	 -0.403205
6 	 9.68613 	 16.6861 	 0.406406 	 -0.0574062
7 	 10.3806 	 17.3806 	 0.63998 	 -0.507247
8 	 10.4125 	 17.4125 	 0.687791 	 -0.539959
9 	 10.7402 	 17.7402 	 0.545165 	 -0.463372
10 	 10.9703 	 17.9703 	 0.265019 	 0.304814
11 	 10.3807 	 17.3807 	 0.272086 	 -0.225558
12 	 10.485 	 17.485 	 0.464989 	 -0.405035
13 	 9.93346 	 16.9335 	 0.0550851 	 0.30139
14 	 10.7377 	 17.7377 	 0.645019 	 -0.0840108
15 	 10.6129 	 17.6129 	 0.363593 	 -0.113608
16 	 11.1848 	 18.1848 	 0.263728 	 -0.0775843
17 	 11.166 	 18.166 	 0.483555 	 -0.40561
18 	 11.2275 	 18.2275 	 0.510182 	 -0.374434
19 	 11.1385 	 18.1385 	 0.404937 	 -0.15513
20 	 11.2099 	 18.2099 	 0.602777 	 -0.615163
21 	 11.0109 	 18.0109 	 0.227516 	 0.0999799
22 	 10.9584 	 17.9584 	 0.301738 	 -0.0405874
23 	 10.8065 	 17.8065 	 0.331327 	 -0.109814
24 	 9.93823 	 16.9382 	 0.405635 	 -0.130833
25 	 10.1747 	 17.1747 	 0.425527 	 -0.226703
26 	 10.7066 	 17.7066 	 0.2926 	 -0.166014
27 	 10.2677 	 17.2677 	 0.409562 	 -0.259829
28 	 10.1524 	 17.1524 	 0.378459 	 -0.254272
29 	 10.1069 	 17.1069 	 0.489376 	 -0.325393
30 	 10.3124 	 17.3124 	 0.353643 	 -0.171595
31 	 10.2153 	 17.2153 	 0.388572 	 -0.256053
32 	 9.9077 	 16.9077 	 0.429646 	 -0.305661
33 	 10.1244 	 17.1244 	 0.419241 	 -0.274433
34 	 10.2579 	 17.2579 	 0.371206 	 -0.154207
35 	 9.67765 	 16.6777 	 0.450136 	 -0.42835
36 	 10.0837 	 17.0837 	 0.45622 	 -0.357055
37 	 9.80367 	 16.8037 	 0.452576 	 -0.171614
38 	 9.48657 	 16.4866 	 0.517112 	 -0.297135
39 	 10.3198 	 17.3198 	 0.349607 	 -0.138197
40 	 10.413 	 17.413 	 0.318017 	 -0.2752
41 	 10.8458 	 17.8458 	 0.360705 	 -0.284938
42 	 10.6885 	 17.6885 	 0.374035 	 -0.302309
43 	 11.1082 	 18.1082 	 0.274421 	 -0.254526
44 	 10.8749 	 17.8749 	 0.365057 	 -0.226233
45 	 11.0037 	 18.0037 	 0.267436 	 -0.190464
46 	 10.7977 	 17.7977 	 0.288419 	 -0.175111
47 	 10.6482 	 17.6482 	 0.357078 	 -0.236018
48 	 9.97233 	 16.9723 	 0.360425 	 -0.206173
49 	 9.70002 	 16.7 	 0.483067 	 -0.292359
50 	 10.0981 	 17.0981 	 0.30829 	 -0.196492
51 	 9.99199 	 16.992 	 0.33894 	 -0.152156
52 	 9.81146 	 16.8115 	 0.404693 	 -0.356467
53 	 10.1894 	 17.1894 	 0.332238 	 -0.250781
54 	 10.1517 	 17.1517 	 0.335489 	 -0.224945
55 	 9.62889 	 16.6289 	 0.385405 	 -0.197545
56 	 10.889 	 17.889 	 0.383183 	 -0.207799
57 	 11.6747 	 18.6747 	 0.314595 	 -0.204371
58 	 11.0985 	 18.0985 	 0.363055 	 -0.169111
59 	 11.4339 	 18.4339 	 0.32911 	 -0.189564
60 	 12.2716 	 19.2716 	 0.334364 	 -0.117807
61 	 11.5222 	 18.5222 	 0.337792 	 -0.163337
62 	 11.4507 	 18.4507 	 0.305396 	 -0.247423
63 	 11.7713 	 18.7713 	 0.288041 	 -0.0791613
64 	 11.2898 	 18.2898 	 0.252438 	 -0.11138
65 	 11.4682 	 18.4682 	 0.395685 	 -0.325612
66 	 11.0953 	 18.0953 	 0.36421 	 -0.196458
67 	 11.6613 	 18.6613 	 0.264981 	 -0.181429
68 	 11.0688 	 18.0688 	 0.357861 	 -0.204213
69 	 11.604 	 18.604 	 0.358063 	 -0.224792
70 	 11.634 	 18.634 	 0.360159 	 -0.189539
71 	 11.6416 	 18.6416 	 0.359469 	 -0.265314
72 	 11.3924 	 18.3924 	 0.337739 	 -0.243587
73 	 10.8911 	 17.8911 	 0.350314 	 -0.20967
74 	 11.4093 	 18.4093 	 0.220549 	 -0.170829
75 	 10.9366 	 17.9366 	 0.304848 	 -0.242498
76 	 11.4386 	 18.4386 	 0.284051 	 -0.226605
77 	 11.468 	 18.468 	 0.253985 	 -0.18159
78 	 11.2394 	 18.2394 	 0.292717 	 -0.158724
79 	 11.4925 	 18.4925 	 0.286651 	 -0.195911
80 	 10.5524 	 17.5524 	 0.429092 	 -0.374
81 	 11.4589 	 18.4589 	 0.379784 	 -0.282634
82 	 11.1584 	 18.1584 	 0.373825 	 -0.216959
83 	 11.1201 	 18.1201 	 0.405464 	 -0.304589
84 	 11.1723 	 18.1723 	 0.372987 	 -0.212545
85 	 11.2904 	 18.2904 	 0.377867 	 -0.234251
86 	 11.1302 	 18.1302 	 0.353058 	 -0.234712
87 	 11.6651 	 18.6651 	 0.349187 	 -0.156259
88 	 11.2748 	 18.2748 	 0.351352 	 -0.193458
89 	 11.1503 	 18.1503 	 0.508068 	 -0.0355614
90 	 11.5331 	 18.5331 	 0.359757 	 -0.206291
91 	 11.5016 	 18.5016 	 0.363436 	 -0.241494
92 	 11.5766 	 18.5766 	 0.310869 	 -0.263441
93 	 11.5757 	 18.5757 	 0.36888 	 -0.21362
94 	 11.5089 	 18.5089 	 0.328251 	 -0.243289
95 	 11.4187 	 18.4187 	 0.337995 	 -0.191798
96 	 10.1607 	 17.1607 	 0.931184 	 -0.619428
97 	 10.1688 	 17.1688 	 0.650856 	 -0.422935
98 	 10.0152 	 17.0152 	 0.285356 	 -0.246462
99 	 9.76938 	 16.7694 	 0.408478 	 0.119416
100 	 10.1554 	 17.1554 	 0.127513 	 0.0252249
101 	 9.93369 	 16.9337 	 0.926767 	 -0.417323
102 	 10.1162 	 17.1162 	 0.177528 	 0.450137
103 	 10.088 	 17.088 	 0.3386 	 0.113761
104 	 9.73113 	 16.7311 	 0.0627491 	 0.537183
105 	 10.6423 	 17.6423 	 0.286932 	 -0.0487783
106 	 11.3991 	 18.3991 	 0.277054 	 0.0577117
107 	 10.207 	 17.207 	 0.730584 	 -0.639303
108 	 10.7786 	 17.7786 	 0.285269 	 -0.109837
109 	 9.62068 	 16.6207 	 0.330082 	 -0.219568
110 	 10.6218 	 17.6218 	 0.190067 	 -0.0454672
111 	 10.0892 	 17.0892 	 0.0607942 	 0.282363
112 	 10.6546 	 17.6546 	 0.40986 	 -0.222038
113 	 10.8592 	 17.8592 	 0.145304 	 -0.0398267
114 	 11.054 	 18.054 	 0.413745 	 -0.324956
115 	 10.8324 	 17.8324 	 0.353674 	 -0.0481757
116 	 10.86 	 17.86 	 0.298468 	 0.0346322
117 	 10.8037 	 17.8037 	 0.391752 	 -0.245249
