# Generated with run 8511, valid from the start of 2018 till run 8622.
# Stretching values of FE thresholds for channels with ROID 576-608
# found wrong and fixed from run 8623.
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
0 	 13.0799 	 17.0799 	 0.202377 	 -0.362977
1 	 12.612 	 16.612 	 0.398289 	 -0.363772
2 	 12.2429 	 16.2429 	 0.360836 	 -0.500192
3 	 12.0769 	 16.0769 	 0.249444 	 -0.516435
4 	 13.1658 	 17.1658 	 0.07944 	 -0.353106
5 	 12.3969 	 16.3969 	 0.160377 	 -0.432267
6 	 12.2455 	 16.2455 	 0.172931 	 -0.438393
7 	 12.9644 	 16.9644 	 0.324786 	 -0.274665
8 	 12.9507 	 16.9507 	 0.400589 	 -0.573072
9 	 13.2819 	 17.2819 	 0.087685 	 -0.378054
10 	 13.5322 	 17.5322 	 0.0744002 	 -0.297953
11 	 12.9252 	 16.9252 	 0.39993 	 -0.555027
12 	 12.9632 	 16.9632 	 0.261452 	 -0.472911
13 	 12.4363 	 16.4363 	 0.282233 	 -0.3955
14 	 13.3181 	 17.3181 	 0.192137 	 -0.394329
15 	 13.1227 	 17.1227 	 0.416688 	 -0.578062
16 	 13.8417 	 17.8417 	 0.170386 	 -0.322901
17 	 13.7099 	 17.7099 	 0.25029 	 -0.380718
18 	 13.8099 	 17.8099 	 0.252545 	 -0.37395
19 	 13.644 	 17.644 	 0.323318 	 -0.457092
20 	 13.7902 	 17.7902 	 0.312517 	 -0.462024
21 	 13.6522 	 17.6522 	 0.24795 	 -0.360315
22 	 13.4909 	 17.4909 	 0.1682 	 -0.344574
23 	 13.346 	 17.346 	 0.227251 	 -0.345974
24 	 12.5462 	 16.5462 	 0.287516 	 -0.416738
25 	 12.757 	 16.757 	 0.235319 	 -0.324122
26 	 13.2505 	 17.2505 	 0.17348 	 -0.295477
27 	 12.8176 	 16.8176 	 0.215884 	 -0.365574
28 	 12.6783 	 16.6783 	 0.158497 	 -0.326454
29 	 12.6491 	 16.6491 	 0.265544 	 -0.429542
30 	 12.8724 	 16.8724 	 0.164753 	 -0.317763
31 	 12.7669 	 16.7669 	 0.224005 	 -0.330333
32 	 12.2154 	 16.2154 	 0.374665 	 -0.492363
33 	 12.6066 	 16.6066 	 0.250515 	 -0.395215
34 	 12.6442 	 16.6442 	 0.252656 	 -0.380018
35 	 12.1242 	 16.1242 	 0.335783 	 -0.446863
36 	 12.5264 	 16.5264 	 0.282381 	 -0.412654
37 	 12.1886 	 16.1886 	 0.277088 	 -0.425651
38 	 11.873 	 15.873 	 0.340428 	 -0.458231
39 	 12.7567 	 16.7567 	 0.314349 	 -0.403392
40 	 13.0199 	 17.0199 	 0.193597 	 -0.271611
41 	 13.4348 	 17.4348 	 0.1798 	 -0.31777
42 	 13.3229 	 17.3229 	 0.161239 	 -0.269087
43 	 13.8193 	 17.8193 	 0.140063 	 -0.275775
44 	 13.4269 	 17.4269 	 0.213579 	 -0.365327
45 	 13.5665 	 17.5665 	 0.19486 	 -0.331285
46 	 13.4576 	 17.4576 	 0.15688 	 -0.28927
47 	 13.2665 	 17.2665 	 0.215964 	 -0.321004
48 	 12.6587 	 16.6587 	 -0.000719522 	 -0.384883
49 	 12.3457 	 16.3457 	 0.0886057 	 -0.579766
50 	 12.7241 	 16.7241 	 0.0757115 	 -0.480151
51 	 12.6145 	 16.6145 	 0.0383336 	 -0.502867
52 	 12.3879 	 16.3879 	 0.0359125 	 -0.553444
53 	 12.8724 	 16.8724 	 -0.0281522 	 -0.439872
54 	 12.7046 	 16.7046 	 0.026942 	 -0.402342
55 	 12.2222 	 16.2222 	 0.0606881 	 -0.577448
56 	 13.5626 	 17.5626 	 0.0618783 	 -0.47034
57 	 14.3353 	 18.3353 	 0.0325919 	 -0.421439
58 	 13.7384 	 17.7384 	 0.0812137 	 -0.482436
59 	 14.0735 	 18.0735 	 0.0680169 	 -0.449012
60 	 14.9636 	 18.9636 	 0.0749166 	 -0.415485
61 	 14.1829 	 18.1829 	 0.096262 	 -0.470667
62 	 14.1052 	 18.1052 	 0.0962123 	 -0.491116
63 	 14.4444 	 18.4444 	 0.0700922 	 -0.455727
64 	 14.0858 	 18.0858 	 0.0196474 	 -0.340029
65 	 14.2873 	 18.2873 	 0.00492089 	 -0.336099
66 	 14.0384 	 18.0384 	 -0.00924629 	 -0.342201
67 	 14.4337 	 18.4337 	 0.0590496 	 -0.360916
68 	 13.7395 	 17.7395 	 0.0268698 	 -0.370709
69 	 14.4331 	 18.4331 	 0.0417613 	 -0.291495
70 	 14.3299 	 18.3299 	 0.010275 	 -0.279543
71 	 14.4268 	 18.4268 	 0.032091 	 -0.333723
72 	 14.0989 	 18.0989 	 0.0377554 	 -0.434662
73 	 13.5284 	 17.5284 	 0.0899977 	 -0.481806
74 	 14.1029 	 18.1029 	 0.0473356 	 -0.376361
75 	 13.6284 	 17.6284 	 0.0984138 	 -0.451571
76 	 14.1085 	 18.1085 	 0.090488 	 -0.430772
77 	 14.1793 	 18.1793 	 0.130882 	 -0.37253
78 	 13.9083 	 17.9083 	 0.075803 	 -0.316785
79 	 14.2698 	 18.2698 	 0.0625687 	 -0.390414
80 	 13.2148 	 17.2148 	 0.076483 	 -0.623919
81 	 14.1393 	 18.1393 	 0.0642291 	 -0.46123
82 	 13.857 	 17.857 	 0.098217 	 -0.511349
83 	 13.8705 	 17.8705 	 0.0694645 	 -0.564581
84 	 13.9232 	 17.9232 	 0.105477 	 -0.549405
85 	 13.9689 	 17.9689 	 0.105575 	 -0.537489
86 	 13.8347 	 17.8347 	 0.107658 	 -0.556521
87 	 14.3279 	 18.3279 	 0.045779 	 -0.465769
88 	 13.8488 	 17.8488 	 0.247989 	 -0.346728
89 	 13.1102 	 17.1102 	 0.470308 	 -0.518144
90 	 14.2622 	 18.2622 	 0.246484 	 -0.322992
91 	 14.1511 	 18.1511 	 0.235323 	 -0.346829
92 	 14.3028 	 18.3028 	 0.198231 	 -0.32472
93 	 14.1936 	 18.1936 	 0.221242 	 -0.335188
94 	 14.0472 	 18.0472 	 0.240812 	 -0.359916
95 	 14.0934 	 18.0934 	 0.159485 	 -0.32591
96 	 12.7407 	 16.7407 	 0.0690737 	 -0.315114
97 	 12.6725 	 16.6725 	 0.1909 	 -0.514539
98 	 12.6224 	 16.6224 	 0.221649 	 -0.449503
99 	 12.3809 	 16.3809 	 0.181939 	 -0.429692
100 	 12.7739 	 16.7739 	 0.187114 	 -0.38765
101 	 12.5972 	 16.5972 	 0.277352 	 -0.492038
102 	 12.73 	 16.73 	 0.156708 	 -0.372366
103 	 12.6606 	 16.6606 	 0.102574 	 -0.468007
104 	 12.3008 	 16.3008 	 0.321231 	 -0.488116
105 	 13.3155 	 17.3155 	 0.143866 	 -0.393753
106 	 14.0329 	 18.0329 	 0.235163 	 -0.439666
107 	 12.8021 	 16.8021 	 0.282901 	 -0.432147
108 	 13.4096 	 17.4096 	 0.0926273 	 -0.365602
109 	 12.1141 	 16.1141 	 0.405271 	 -0.57874
110 	 13.2903 	 17.2903 	 0.080643 	 -0.373056
111 	 12.6966 	 16.6966 	 0.191733 	 -0.407589
112 	 13.2338 	 17.2338 	 0.272723 	 -0.406993
113 	 13.473 	 17.473 	 0.0973231 	 -0.290165
114 	 13.6872 	 17.6872 	 0.20225 	 -0.350034
115 	 13.4248 	 17.4248 	 0.112047 	 -0.384087
116 	 13.5053 	 17.5053 	 0.198952 	 -0.349899
117 	 13.4475 	 17.4475 	 0.229751 	 -0.38338
118 	 13.3181 	 17.3181 	 0.248413 	 -0.422012
119 	 13.3385 	 17.3385 	 0.231305 	 -0.347704
120 	 13.0731 	 17.0731 	 0.210378 	 -0.320856
121 	 12.3292 	 16.3292 	 0.332083 	 -0.4568
122 	 12.4982 	 16.4982 	 0.336753 	 -0.455994
123 	 13.1741 	 17.1741 	 0.251641 	 -0.412926
124 	 12.6962 	 16.6962 	 0.28687 	 -0.423435
125 	 12.3463 	 16.3463 	 0.296924 	 -0.427818
126 	 12.2994 	 16.2994 	 0.34616 	 -0.444454
127 	 12.337 	 16.337 	 0.296944 	 -0.429324
128 	 13.5366 	 17.5366 	 0.228613 	 -0.364954
129 	 14.0665 	 18.0665 	 0.222123 	 -0.352113
130 	 13.9184 	 17.9184 	 0.223074 	 -0.346985
131 	 13.917 	 17.917 	 0.195318 	 -0.288211
132 	 14.1877 	 18.1877 	 0.202126 	 -0.260341
133 	 13.8527 	 17.8527 	 0.195526 	 -0.325895
134 	 14.0692 	 18.0692 	 0.19938 	 -0.281906
135 	 14.6205 	 18.6205 	 0.185111 	 -0.27456
136 	 13.5397 	 17.5397 	 0.207696 	 -0.317565
137 	 13.1111 	 17.1111 	 0.16779 	 -0.293102
138 	 13.1667 	 17.1667 	 0.18919 	 -0.318947
